symbol,price
ETHBTC,0.02766
LTCBTC,0.001301
BNBBTC,0.007004
NEOBTC,0.000112
QTUMETH,0.001197
EOSETH,0.000235
SNTETH,1.164e-05
BNTETH,0.0002026
BCCBTC,0.0
GASBTC,4.11e-05
BNBETH,0.2532
BTCUSDT,97176.91
ETHUSDT,2687.99
HSRBTC,0.0
OAXETH,0.0
DNTETH,0.0
MCOETH,0.0
ICNETH,0.0
MCOBTC,0.0
WTCBTC,2.4e-07
WTCETH,0.0
LRCBTC,1.36e-06
LRCETH,4.948e-05
QTUMBTC,3.296e-05
YOYOBTC,0.0
OMGBTC,3.08e-05
OMGETH,0.000791
ZRXBTC,3.38e-06
ZRXETH,9.94e-05
STRATBTC,0.0
STRATETH,0.0
SNGLSBTC,0.0
SNGLSETH,0.0
BQXBTC,0.0
BQXETH,0.0
KNCBTC,4.47e-06
KNCETH,0.0003941
FUNBTC,0.0
FUNETH,1.46e-06
SNMBTC,5.7e-07
SNMETH,0.0
NEOETH,0.004775
IOTABTC,2.37e-06
IOTAETH,8.562e-05
LINKBTC,0.0001953
LINKETH,0.007065
XVGBTC,0.0
XVGETH,2.41e-06
SALTBTC,0.0
SALTETH,0.0
MDABTC,0.0
MDAETH,0.0
MTLBTC,9.81e-06
MTLETH,0.0006834
SUBBTC,0.0
SUBETH,0.0
EOSBTC,6.5e-06
SNTBTC,3.2e-07
ETCETH,0.00766
ETCBTC,0.0002117
MTHBTC,0.0
MTHETH,0.0
ENGBTC,0.0
ENGETH,0.0
DNTBTC,1.86e-06
ZECBTC,0.0003596
ZECETH,0.01307
BNTBTC,7.94e-06
ASTBTC,1.24e-06
ASTETH,0.0
DASHBTC,0.0002763
DASHETH,0.01004
OAXBTC,3.8e-07
ICNBTC,0.0
BTGBTC,0.000913
BTGETH,0.0
EVXBTC,0.0
EVXETH,0.0
REQBTC,1.02e-06
REQETH,0.0
VIBBTC,6.4e-07
VIBETH,3.45e-05
HSRETH,0.0
TRXBTC,2.51e-06
TRXETH,9.04e-05
POWRBTC,2.3e-06
POWRETH,8.34e-05
ARKBTC,1.679e-05
ARKETH,0.0
YOYOETH,0.0
XRPBTC,2.842e-05
XRPETH,0.0010272
MODBTC,0.0
MODETH,0.0
ENJBTC,1.25e-06
ENJETH,6.172e-05
STORJBTC,3.73e-06
STORJETH,0.0
BNBUSDT,680.42
VENBNB,0.0
YOYOBNB,0.0
POWRBNB,0.0
VENBTC,0.0
VENETH,0.0
KMDBTC,2.13e-06
KMDETH,0.0
NULSBNB,0.0
RCNBTC,0.0
RCNETH,0.0
RCNBNB,0.0
NULSBTC,2.78e-06
NULSETH,0.0
RDNBTC,0.0
RDNETH,0.0
RDNBNB,0.0
XMRBTC,0.002287
XMRETH,0.04032
DLTBNB,0.0
WTCBNB,0.0
DLTBTC,0.0
DLTETH,0.0
AMBBTC,1e-07
AMBETH,0.0
AMBBNB,0.0
BCCETH,0.0
BCCUSDT,0.0
BCCBNB,0.0
BATBTC,1.92e-06
BATETH,0.0001063
BATBNB,0.0
BCPTBTC,0.0
BCPTETH,0.0
BCPTBNB,0.0
ARNBTC,0.0
ARNETH,0.0
GVTBTC,0.0
GVTETH,0.0
CDTBTC,0.0
CDTETH,0.0
GXSBTC,0.0
GXSETH,0.0
NEOUSDT,10.94
NEOBNB,0.03836
POEBTC,0.0
POEETH,0.0
QSPBTC,0.0
QSPETH,0.0
QSPBNB,0.0
BTSBTC,4.3e-07
BTSETH,0.0
BTSBNB,0.0
XZCBTC,0.0
XZCETH,0.0
XZCBNB,0.0
LSKBTC,7.86e-06
LSKETH,0.0003373
LSKBNB,0.0
TNTBTC,0.0
TNTETH,0.0
FUELBTC,0.0
FUELETH,0.0
MANABTC,3.4e-06
MANAETH,0.000123
BCDBTC,0.0
BCDETH,0.0
DGDBTC,0.0
DGDETH,0.0
IOTABNB,0.000717
ADXBTC,1.53e-06
ADXETH,5.532e-05
ADXBNB,0.0
ADABTC,8.03e-06
ADAETH,0.0002904
PPTBTC,0.0
PPTETH,0.0
CMTBTC,0.0
CMTETH,0.0
CMTBNB,0.0
XLMBTC,3.56e-06
XLMETH,0.00012888
XLMBNB,0.0003036
CNDBTC,0.0
CNDETH,0.0
CNDBNB,0.0
LENDBTC,0.0
LENDETH,0.0
WABIBTC,3e-07
WABIETH,0.0
WABIBNB,0.0
LTCETH,0.04713
LTCUSDT,126.53
LTCBNB,0.1864
TNBBTC,0.0
TNBETH,0.0
WAVESBTC,1.626e-05
WAVESETH,0.000298
WAVESBNB,0.00513
GTOBTC,7.7e-07
GTOETH,0.0
GTOBNB,0.0
ICXBTC,1.35e-06
ICXETH,0.0001179
ICXBNB,0.0
OSTBTC,0.0
OSTETH,0.0
OSTBNB,0.0
ELFBTC,3.18e-06
ELFETH,0.0001156
AIONBTC,1.39e-06
AIONETH,0.0
AIONBNB,0.0
NEBLBTC,1.2e-05
NEBLBNB,0.0
BRDBTC,0.0
BRDETH,0.0
BRDBNB,0.0
MCOBNB,0.0
EDOBTC,0.0
EDOETH,0.0
WINGSBTC,0.0
WINGSETH,0.0
NAVBTC,0.0
NAVETH,0.0
NAVBNB,0.0
LUNBTC,0.0
LUNETH,0.0
TRIGBTC,0.0
TRIGETH,0.0
TRIGBNB,0.0
APPCBTC,0.0
APPCETH,0.0
APPCBNB,0.0
VIBEBTC,0.0
VIBEETH,0.0
RLCBTC,1.356e-05
RLCETH,0.0004925
RLCBNB,0.0
INSBTC,0.0
INSETH,0.0
PIVXBTC,2.05e-06
PIVXBNB,0.0
IOSTBTC,1e-07
IOSTETH,3.72e-06
CHATBTC,0.0
CHATETH,0.0
STEEMBTC,1.87e-06
STEEMETH,6.76e-05
STEEMBNB,0.0
NANOBTC,0.0
NANOETH,0.0
NANOBNB,0.0
VIABTC,0.0
VIAETH,0.0
VIABNB,0.0
BLZBTC,6e-07
BLZETH,4.159e-05
BLZBNB,0.0
AEBTC,0.0
AEETH,0.0
AEBNB,0.0
RPXBTC,0.0
RPXETH,0.0
RPXBNB,0.0
NCASHBTC,0.0
NCASHETH,0.0
NCASHBNB,0.0
POABTC,0.0
POAETH,0.0
POABNB,0.0
ZILBTC,1.5e-07
ZILETH,5.5e-06
ZILBNB,8.858e-05
ONTBTC,2e-06
ONTETH,0.0001253
ONTBNB,0.0
STORMBTC,0.0
STORMETH,0.0
STORMBNB,0.0
QTUMBNB,0.0
QTUMUSDT,3.216
XEMBTC,1.92e-06
XEMETH,0.0
XEMBNB,0.0
WANBTC,1.6e-06
WANETH,9.27e-05
WANBNB,0.0
WPRBTC,0.0
WPRETH,0.0
QLCBTC,2.1e-07
QLCETH,0.0
SYSBTC,7.4e-07
SYSETH,0.0
SYSBNB,0.0
QLCBNB,0.0
GRSBTC,0.0
GRSETH,0.0
ADAUSDT,0.7804
ADABNB,0.001147
CLOAKBTC,0.0
CLOAKETH,0.0
GNTBTC,0.0
GNTETH,0.0
GNTBNB,0.0
LOOMBTC,7.5e-07
LOOMETH,3.231e-05
LOOMBNB,0.0
XRPUSDT,2.7619
BCNBTC,0.0
BCNETH,0.0
BCNBNB,0.0
REPBTC,0.0003413
REPBNB,0.0
BTCTUSD,97331.77
TUSDBTC,0.0
ETHTUSD,2690.43
TUSDETH,0.0
TUSDBNB,0.0
ZENBTC,0.0001546
ZENETH,0.003991
ZENBNB,0.0329
SKYBTC,0.0
SKYETH,0.0
SKYBNB,0.0
EOSUSDT,0.6312
EOSBNB,0.002583
CVCBTC,5.66e-06
CVCETH,0.0
CVCBNB,0.0
THETABTC,1.388e-05
THETAETH,0.0005017
THETABNB,0.002736
XRPBNB,0.0040563
TUSDUSDT,0.9982
IOTAUSDT,0.23
XLMUSDT,0.3466
IOTXBTC,2e-07
IOTXETH,7.47e-06
QKCBTC,1e-07
QKCETH,4.3e-06
AGIBTC,0.0
AGIETH,0.0
AGIBNB,0.0
NXSBTC,0.0
NXSETH,0.0
NXSBNB,0.0
ENJBNB,0.001368
DATABTC,2.7e-07
DATAETH,2.034e-05
ONTUSDT,0.1948
TRXBNB,0.0003575
TRXUSDT,0.2431
ETCUSDT,20.57
ETCBNB,0.03021
ICXUSDT,0.1311
SCBTC,0.0
SCETH,1.52e-06
NPXSBTC,0.0
NPXSETH,0.0
VENUSDT,0.0
KEYBTC,0.0
KEYETH,2.27e-06
NASBTC,0.0
NASETH,0.0
NASBNB,0.0
MFTBTC,0.0
MFTETH,4.33e-06
MFTBNB,0.0
DENTBTC,0.0
DENTETH,3.6e-07
ARDRBTC,7.4e-07
ARDRETH,0.0
ARDRBNB,0.0
NULSUSDT,0.2695
HOTBTC,0.0
HOTETH,6.1e-07
VETBTC,3.5e-07
VETETH,1.237e-05
VETUSDT,0.03339
VETBNB,4.904e-05
DOCKBTC,5e-08
DOCKETH,0.0
POLYBTC,1.384e-05
POLYBNB,0.0
PHXBTC,0.0
PHXETH,0.0
PHXBNB,0.0
HCBTC,0.0
HCETH,0.0
GOBTC,0.0
GOBNB,0.0
PAXBTC,0.0
PAXBNB,0.0
PAXUSDT,0.0
PAXETH,0.0
RVNBTC,1.5e-07
DCRBTC,0.0002185
DCRBNB,0.0
USDCBNB,0.0
MITHBTC,8e-07
MITHBNB,4.41e-05
BCHABCBTC,0.0
BCHSVBTC,0.0
BCHABCUSDT,0.0
BCHSVUSDT,0.0
BNBPAX,0.0
BTCPAX,0.0
ETHPAX,0.0
XRPPAX,0.0
EOSPAX,0.0
XLMPAX,0.0
RENBTC,4.3e-07
RENBNB,0.0
BNBTUSD,679.18
XRPTUSD,2.7622
EOSTUSD,0.0
XLMTUSD,0.0
BNBUSDC,680.46
BTCUSDC,97186.43
ETHUSDC,2687.82
XRPUSDC,2.7616
EOSUSDC,0.6309
XLMUSDC,0.3467
USDCUSDT,0.9999
ADATUSD,0.3847
TRXTUSD,0.05986
NEOTUSD,0.0
TRXXRP,0.0879
XZCXRP,0.0
PAXTUSD,0.0
USDCTUSD,0.0
USDCPAX,0.0
LINKUSDT,18.98
LINKTUSD,14.423
LINKPAX,0.0
LINKUSDC,18.99
WAVESUSDT,1.076
WAVESTUSD,0.0
WAVESPAX,0.0
WAVESUSDC,0.0
BCHABCTUSD,0.0
BCHABCPAX,0.0
BCHABCUSDC,0.0
BCHSVTUSD,0.0
BCHSVPAX,0.0
BCHSVUSDC,0.0
LTCTUSD,83.07
LTCPAX,0.0
LTCUSDC,126.55
TRXPAX,0.0
TRXUSDC,0.2431
BTTBTC,0.0
BTTBNB,0.0
BTTUSDT,0.0
BNBUSDS,0.0
BTCUSDS,0.0
USDSUSDT,0.0
USDSPAX,0.0
USDSTUSD,0.0
USDSUSDC,0.0
BTTPAX,0.0
BTTTUSD,0.0
BTTUSDC,0.0
ONGBNB,0.0
ONGBTC,2.69e-06
ONGUSDT,0.2622
HOTBNB,0.0
HOTUSDT,0.001623
ZILUSDT,0.01477
ZRXBNB,0.0
ZRXUSDT,0.3298
FETBNB,0.001152
FETBTC,8.06e-06
FETUSDT,0.784
BATUSDT,0.1867
XMRBNB,0.3321
XMRUSDT,118.7
ZECBNB,0.1026
ZECUSDT,35.05
ZECPAX,0.0
ZECTUSD,0.0
ZECUSDC,55.8
IOSTUSDT,0.005138
CELRBNB,5.294e-05
CELRBTC,1.4e-07
CELRUSDT,0.01277
ADAPAX,0.0
ADAUSDC,0.7807
NEOPAX,0.0
NEOUSDC,10.96
DASHBNB,0.1183
DASHUSDT,26.99
NANOUSDT,0.0
OMGBNB,0.0
OMGUSDT,0.383
THETAUSDT,1.349
ENJUSDT,0.1225
MITHUSDT,0.00345
MATICBNB,0.000734
MATICBTC,6.67e-06
MATICUSDT,0.3794
ATOMBNB,0.00739
ATOMBTC,4.94e-05
ATOMUSDT,4.804
ATOMUSDC,4.8
ATOMPAX,0.0
ATOMTUSD,0.0
ETCUSDC,0.0
ETCPAX,0.0
ETCTUSD,0.0
BATUSDC,0.0
BATPAX,0.0
BATTUSD,0.0
PHBBNB,0.0
PHBBTC,9.88e-06
PHBUSDC,0.0
PHBTUSD,0.0
PHBPAX,0.0
TFUELBNB,0.0
TFUELBTC,5.1e-07
TFUELUSDT,0.04972
TFUELUSDC,0.0
TFUELTUSD,0.0
TFUELPAX,0.0
ONEBNB,4.537e-05
ONEBTC,1.6e-07
ONEUSDT,0.01529
ONETUSD,0.0
ONEPAX,0.0
ONEUSDC,0.0
FTMBNB,0.0010144
FTMBTC,7.43e-06
FTMUSDT,0.6994
FTMTUSD,0.0
FTMPAX,0.0
FTMUSDC,0.6986
BTCBBTC,0.0
BCPTTUSD,0.0
BCPTPAX,0.0
BCPTUSDC,0.0
ALGOBNB,0.0005825
ALGOBTC,2.86e-06
ALGOUSDT,0.2782
ALGOTUSD,0.0
ALGOPAX,0.0
ALGOUSDC,0.278
USDSBUSDT,0.0
USDSBUSDS,0.0
GTOUSDT,0.01233
GTOPAX,0.0
GTOTUSD,0.0
GTOUSDC,0.0
ERDBNB,0.0
ERDBTC,0.0
ERDUSDT,0.0
ERDPAX,0.0
ERDUSDC,0.0
DOGEBNB,0.0
DOGEBTC,2.75e-06
DOGEUSDT,0.26776
DOGEPAX,0.0
DOGEUSDC,0.26776
DUSKBNB,0.0
DUSKBTC,1.35e-06
DUSKUSDT,0.1311
DUSKUSDC,0.0
DUSKPAX,0.0
BGBPUSDC,0.0
ANKRBNB,8.56e-05
ANKRBTC,2.4e-07
ANKRUSDT,0.02294
ANKRTUSD,0.0
ANKRPAX,0.0
ANKRUSDC,0.0
ONTPAX,0.0
ONTUSDC,0.1951
WINBNB,1.2e-07
WINBTC,0.0
WINUSDT,8.055e-05
WINUSDC,9.73e-05
COSBNB,2.678e-05
COSBTC,8e-08
COSUSDT,0.005141
TUSDBTUSD,0.0
NPXSUSDT,0.0
NPXSUSDC,0.0
COCOSBNB,0.00559
COCOSBTC,0.0
COCOSUSDT,1.7546
MTLUSDT,0.956
TOMOBNB,0.0
TOMOBTC,3.699e-05
TOMOUSDT,1.3819
TOMOUSDC,0.0
PERLBNB,0.0
PERLBTC,1.13e-06
PERLUSDC,0.0
PERLUSDT,0.0046
DENTUSDT,0.000966
MFTUSDT,0.005254
KEYUSDT,0.001253
STORMUSDT,0.0
DOCKUSDT,0.0039
WANUSDT,0.1553
FUNUSDT,0.003056
CVCUSDT,0.1207
BTTTRX,0.0
WINTRX,0.0003292
CHZBNB,8.76e-05
CHZBTC,6.1e-07
CHZUSDT,0.0596
BANDBNB,0.0
BANDBTC,9.9e-06
BANDUSDT,0.963
BNBBUSD,251.8
BTCBUSD,42769.4
BUSDUSDT,1.0003
BEAMBNB,0.0
BEAMBTC,7.16e-06
BEAMUSDT,0.0652
XTZBNB,0.002883
XTZBTC,9.22e-06
XTZUSDT,0.896
RENUSDT,0.04274
RVNUSDT,0.01456
HCUSDT,0.0
HBARBNB,0.00032651
HBARBTC,2.28e-06
HBARUSDT,0.22239
NKNBNB,0.0
NKNBTC,6.7e-07
NKNUSDT,0.0653
XRPBUSD,0.6345
ETHBUSD,2281.12
BCHABCBUSD,0.0
LTCBUSD,72.37
LINKBUSD,14.071
ETCBUSD,19.03
STXBNB,0.001373
STXBTC,9.63e-06
STXUSDT,0.935
KAVABNB,0.00276
KAVABTC,4.75e-06
KAVAUSDT,0.4617
BUSDNGN,0.0
BNBNGN,0.0
BTCNGN,99822596.0
ARPABNB,0.0001547
ARPABTC,3.8e-07
ARPAUSDT,0.03655
TRXBUSD,0.10329
EOSBUSD,0.634
IOTXUSDT,0.02008
RLCUSDT,1.32
MCOUSDT,0.0
XLMBUSD,0.1197
ADABUSD,0.6374
CTXCBNB,0.0
CTXCBTC,1.93e-06
CTXCUSDT,0.188
BCHBNB,0.483
BCHBTC,0.003383
BCHUSDT,329.1
BCHUSDC,329.1
BCHTUSD,322.0
BCHPAX,0.0
BCHBUSD,236.0
BTCRUB,3900027.0
ETHRUB,181477.6
XRPRUB,56.31
BNBRUB,22422.22
TROYBNB,1.06e-05
TROYBTC,0.0
TROYUSDT,0.001633
BUSDRUB,90.39
QTUMBUSD,2.537
VETBUSD,0.0212
VITEBNB,0.0
VITEBTC,7e-08
VITEUSDT,0.00785
FTTBNB,0.00513
FTTBTC,8.56e-05
FTTUSDT,2.2511
BTCTRY,3540947.0
BNBTRY,24790.0
BUSDTRY,29.33
ETHTRY,97940.0
XRPTRY,100.6
USDTTRY,36.43
USDTRUB,91.1
BTCEUR,92737.41
ETHEUR,2565.23
BNBEUR,649.36
XRPEUR,2.6356
EURBUSD,1.0757
EURUSDT,1.0479
OGNBNB,0.000383
OGNBTC,8.1e-07
OGNUSDT,0.0791
DREPBNB,0.0
DREPBTC,3.9e-07
DREPUSDT,0.0256
BULLUSDT,0.0
BULLBUSD,0.0
BEARUSDT,0.0
BEARBUSD,0.0
