id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,97054.0,1923251067824,1,1923255627310.0,13505741968.0,97744.0,96732.0,-564.8589727174549,-0.57864,-12096784637.259766,-0.62504,19825218.0,19825265.0,21000000.0,108786.0,-10.93893,2025-01-20T09:11:54.494Z,67.81,142780.07896,2013-07-06T00:00:00.000Z,,2025-02-16T21:34:17.194Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2675.11,322158639293,2,322158639293.0,8562787558.0,2717.5,2667.77,-17.271730531319008,-0.6415,-2408975657.2557983,-0.74221,120552658.8489057,120552658.8489057,,4878.26,-45.30336,2021-11-10T14:24:19.604Z,0.432979,616152.8709,2015-10-20T00:00:00.000Z,"{'times': 35.85216870262778, 'currency': 'btc', 'percentage': 3585.216870262778}",2025-02-16T21:34:18.180Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.75,158909670261,3,274803285327.0,2820966691.0,2.8,2.7,0.01513998,0.5535,799041838.0,0.50537,57818864895.0,99986451428.0,100000000000.0,3.4,-19.27475,2018-01-07T00:00:00.000Z,0.00268621,102029.42473,2014-05-22T00:00:00.000Z,,2025-02-16T21:34:17.842Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,142008284194,4,142008284194.0,24482268843.0,1.0,0.99993,-8.556818364092e-06,-0.00086,-75141.19869995117,-5e-05,141996505143.6433,141996505143.6433,,1.32,-24.41429,2018-07-24T00:00:00.000Z,0.572521,74.67849,2015-03-02T00:00:00.000Z,,2025-02-16T21:34:10.050Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,676.9,98684042494,5,98684042494.0,1098886457.0,683.3,654.43,16.52,2.50132,2424518720.0,2.51873,145887575.79,145887575.79,200000000.0,788.84,-14.34428,2024-12-04T10:35:25.220Z,0.0398177,1696858.19421,2017-10-19T00:00:00.000Z,,2025-02-16T21:34:16.209Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,188.31,91715302843,6,111592484223.0,2384227482.0,195.9,187.18,-5.513250527337306,-2.84452,-2931288770.9898834,-3.09709,488382818.5671956,594228556.0442016,,293.31,-36.185,2025-01-19T11:15:27.957Z,0.500801,37275.51692,2020-05-11T19:35:23.449Z,,2025-02-16T21:34:16.958Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9999,56431237316,7,56451768688.0,2536601607.0,1.0,0.999881,-2.659164622942e-06,-0.00027,84321858.0,0.14965,56436898841.62394,56457432273.11253,,1.17,-14.73332,2019-05-08T00:40:28.300Z,0.877647,13.93283,2023-03-11T08:02:13.981Z,,2025-02-16T21:34:09.214Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.266023,39313142597,8,39317714962.0,928559406.0,0.273513,0.26431,-0.0050142040212625,-1.85,-820313140.4603195,-2.04396,148057346383.7052,148074566383.7052,,0.731578,-63.81774,2021-05-08T05:08:23.458Z,8.69e-05,304491.52348,2015-05-06T00:00:00.000Z,,2025-02-16T21:34:18.877Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.773598,27714851014,9,34722522525.0,426428288.0,0.786109,0.764474,-0.0062818524099444,-0.80549,-275125676.67985535,-0.98294,35918136268.48197,45000000000.0,45000000000.0,3.09,-75.03358,2021-09-02T06:00:10.474Z,0.01925275,3903.01897,2020-03-13T02:22:55.044Z,,2025-02-16T21:34:17.534Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2673.43,25108649865,10,25108649865.0,29789120.0,2715.65,2666.37,-17.05350880300375,-0.63385,-171756083.3314476,-0.6794,9395577.617246604,9395577.617246604,,4829.57,-44.76174,2021-11-10T14:40:47.256Z,482.9,452.45221,2020-12-22T04:08:21.854Z,,2025-02-16T21:34:15.395Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.242915,20900632253,11,20900643357.0,503391885.0,0.243446,0.235874,0.00544858,2.29446,456021897.0,2.23052,86095428131.11473,86095473869.45764,,0.431288,-43.76463,2024-12-04T00:10:40.323Z,0.00180434,13341.83259,2017-11-12T00:00:00.000Z,"{'times': 126.84986509668038, 'currency': 'usd', 'percentage': 12684.986509668037}",2025-02-16T21:34:19.267Z
