id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95366.0,1890692301499,1,1890694113456.0,25551986655.0,97207.0,95513.0,-1629.7742279212398,-1.68025,-32265876473.57788,-1.67793,19825609.0,19825628.0,21000000.0,108786.0,-12.19843,2025-01-20T09:11:54.494Z,67.81,140759.47002,2013-07-06T00:00:00.000Z,,2025-02-17T16:49:32.051Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2728.84,328975985507,2,328975985507.0,21215168758.0,2832.06,2653.34,34.92,1.29643,4217392949.0,1.29862,120555264.2310122,120555264.2310122,,4878.26,-44.02821,2021-11-10T14:24:19.604Z,0.432979,630519.61554,2015-10-20T00:00:00.000Z,"{'times': 37.24921159582745, 'currency': 'btc', 'percentage': 3724.9211595827446}",2025-02-17T16:49:35.123Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.62,151488579607,3,261969956247.0,4106581126.0,2.76,2.62,-0.10153725191794337,-3.7308,-5920729973.131744,-3.76136,57818864895.0,99986451428.0,100000000000.0,3.4,-22.84369,2018-01-07T00:00:00.000Z,0.00268621,97514.17888,2014-05-22T00:00:00.000Z,,2025-02-17T16:49:31.110Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,141997679792,4,141997679792.0,37943685522.0,1.0,0.999918,-5.1357507283134e-05,-0.00514,-6094812.270080566,-0.00429,141996505143.6433,141996505143.6433,,1.32,-24.41866,2018-07-24T00:00:00.000Z,0.572521,74.66838,2015-03-02T00:00:00.000Z,,2025-02-17T16:49:34.302Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,667.23,97369767522,5,97369767522.0,1035526290.0,681.01,666.6,-8.083155476933484,-1.19694,-1144741534.3345642,-1.162,145887575.79,145887575.79,200000000.0,788.84,-15.37049,2024-12-04T10:35:25.220Z,0.0398177,1676527.60128,2017-10-19T00:00:00.000Z,,2025-02-17T16:49:29.526Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,178.36,87108826879,6,105986134011.0,4285388995.0,190.82,178.76,-11.978329847087878,-6.2932,-5924464333.494217,-6.36811,488389179.5809966,594227736.6243905,,293.31,-39.02628,2025-01-19T11:15:27.957Z,0.500801,35611.42071,2020-05-11T19:35:23.449Z,,2025-02-17T16:49:32.680Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999992,56485018123,7,56478274531.0,3714102182.0,0.999998,0.999886,3.07e-06,0.00031,47732330.0,0.08458,56485477186.82673,56478733539.84648,,1.17,-14.72731,2019-05-08T00:40:28.300Z,0.877647,13.94085,2023-03-11T08:02:13.981Z,,2025-02-17T16:49:37.010Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.257227,38084312393,8,38091566188.0,1215334793.0,0.268463,0.257981,-0.009603975478382988,-3.59928,-1443094821.7026672,-3.65087,148057346383.7052,148085546383.7051,,0.731578,-64.70705,2021-05-08T05:08:23.458Z,8.69e-05,297005.08073,2015-05-06T00:00:00.000Z,,2025-02-17T16:49:30.713Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.796711,28627072192,9,35865397888.0,888459455.0,0.824648,0.766113,0.02523569,3.2711,923460791.0,3.33336,35918136268.48197,45000000000.0,45000000000.0,3.09,-74.1312,2021-09-02T06:00:10.474Z,0.01925275,4047.70347,2020-03-13T02:22:55.044Z,,2025-02-17T16:49:39.686Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2727.05,25690012977,10,25690012977.0,64187617.0,2832.41,2655.65,34.42,1.27829,398793078.0,1.5768,9394295.144038917,9394295.144038917,,4829.57,-43.49484,2021-11-10T14:40:47.256Z,482.9,465.12279,2020-12-22T04:08:21.854Z,,2025-02-17T16:49:38.712Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.241209,20784040474,11,20784062660.0,809235653.0,0.247535,0.239818,-0.001632540680482381,-0.67226,-121833670.458992,-0.58277,86093556141.90681,86093648041.68883,,0.431288,-44.11007,2024-12-04T00:10:40.323Z,0.00180434,13259.26341,2017-11-12T00:00:00.000Z,"{'times': 125.95230509569637, 'currency': 'usd', 'percentage': 12595.230509569637}",2025-02-17T16:49:31.496Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,95560.0,12329045606,12,12329045606.0,302033888.0,97240.0,95410.0,-1377.7696298488736,-1.42129,-185067819.68977737,-1.47887,129138.42002211,129138.42002211,129138.42002211,108368.0,-11.89605,2025-01-20T07:16:27.137Z,3139.17,2941.44946,2019-04-02T00:00:00.000Z,,2025-02-17T16:49:33.132Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,19.07,12194192528,13,19110159995.0,566123073.0,19.7,18.5,0.173518,0.91844,130253196.0,1.07969,638099970.4505637,1000000000.0,1000000000.0,52.7,-63.74807,2021-05-10T00:13:57.214Z,0.148183,12791.8374,2017-11-29T00:00:00.000Z,,2025-02-17T16:49:32.959Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3266.85,11005397608,14,11005397608.0,28995881.0,3371.97,3176.01,47.86,1.48678,196242446.0,1.81552,3363837.209516594,3363837.209516594,,7256.02,-54.98315,2022-05-13T15:09:54.509Z,558.54,484.81607,2022-05-13T01:36:45.053Z,,2025-02-17T16:49:32.093Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,24.84,10296336348,15,11208998911.0,310311002.0,25.85,24.72,-0.26733717988719974,-1.06497,-104922876.527874,-1.00875,413692357.5288282,450361859.6263018,720000000.0,144.96,-82.80959,2021-11-21T14:18:56.538Z,2.8,789.64161,2020-12-31T13:15:21.540Z,,2025-02-17T16:49:36.967Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.333302,10204335174,16,16667264739.0,193831797.0,0.348289,0.333395,-0.0102257915128669,-2.9767,-319422372.3565941,-3.03525,30613001039.86247,50001786894.45016,50001786894.45016,0.875563,-61.92311,2018-01-03T00:00:00.000Z,0.00047612,69921.16746,2015-03-05T00:00:00.000Z,,2025-02-17T16:49:38.056Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.18,9859276112,17,31910066200.0,770262926.0,3.35,3.19,-0.13768650691073958,-4.14943,-392417374.9684849,-3.82783,3089707194.508888,10000000000.0,10000000000.0,5.35,-40.41325,2025-01-04T22:56:18.063Z,0.364846,773.20211,2023-10-19T10:40:30.078Z,,2025-02-17T16:49:33.022Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.78,9435811111,18,19376800138.0,144410026.0,3.85,3.75,-0.005164218056570302,-0.13661,9622704.0,0.10208,2494494447.807267,5122540054.504419,,8.25,-54.28385,2024-06-15T00:36:51.509Z,0.519364,626.51026,2021-09-21T00:33:11.092Z,,2025-02-17T16:49:32.126Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,122.11,9232619249,19,9232659733.0,1001521124.0,128.58,121.57,-4.741703418976925,-3.73798,-346591567.44726753,-3.61816,75543045.73347135,75543376.98347135,84000000.0,410.26,-70.09309,2021-05-10T03:13:07.904Z,1.15,10579.97185,2015-01-14T00:00:00.000Z,,2025-02-17T16:49:35.559Z
